"company_id","city","state_name","lat","lng","population","position_count","wage_median"
4605,"Irving","Texas",32.8583,-96.9702,254962,15,132933
132,"Irving","Texas",32.8583,-96.9702,254962,3,130000
9590,"Irving","Texas",32.8583,-96.9702,254962,4,125400
9590,"Glendale","Arizona",33.5791,-112.2311,248083,8,117700
9604,"Lafayette","Louisiana",30.2082,-92.0325,237565,2,145000
27732,"Fremont","California",37.5265,-121.9843,228795,48,180000
9590,"Fremont","California",37.5265,-121.9843,228795,13,160000
191,"Fremont","California",37.5265,-121.9843,228795,18,206617
132,"Fremont","California",37.5265,-121.9843,228795,8,199238
57585,"Fremont","California",37.5265,-121.9843,228795,2,211136
9590,"Hialeah","Florida",25.8696,-80.3045,222996,2,185000
9590,"Deltona","Florida",28.905,-81.2137,221137,5,145700
9590,"San Bernardino","California",34.1416,-117.2943,221041,41,73112
9590,"Gainesville","Florida",29.6804,-82.3459,220929,5,130773
9590,"College Station","Texas",30.5852,-96.2959,213177,3,84011
9590,"Moreno Valley","California",33.9244,-117.2045,209578,16,115627
132,"Sioux Falls","South Dakota",43.5396,-96.7311,204484,2,157220
9590,"Evansville","Indiana",37.9881,-87.5341,203661,3,152000
9590,"Santa Barbara","California",34.4285,-119.7202,199023,32,82555
9590,"Huntington Beach","California",33.696,-118.0018,197481,14,129854
9590,"Glendale","California",34.1819,-118.2468,194512,2,117250
9590,"Murfreesboro","Tennessee",35.849,-86.4121,184763,5,130000
9604,"Fort Lauderdale","Florida",26.1412,-80.1464,182673,23,135300
9590,"Aurora","Illinois",41.7638,-88.2902,181405,7,125000
9590,"Ontario","California",34.0393,-117.6064,176326,19,108200
4605,"Cary","North Carolina",35.7819,-78.8195,174880,5,93224
9590,"Lafayette","Indiana",40.3991,-86.8593,160543,2,97032
9590,"Springfield","Illinois",39.7709,-89.654,159671,5,129750
494,"Springfield","Illinois",39.7709,-89.654,159671,2,224000
4605,"Alexandria","Virginia",38.8185,-77.0861,157594,33,117000
9590,"Alexandria","Virginia",38.8185,-77.0861,157594,7,147500
27732,"Alexandria","Virginia",38.8185,-77.0861,157594,5,145000
9604,"Alexandria","Virginia",38.8185,-77.0861,157594,3,143600
9590,"Kansas City","Kansas",39.1235,-94.7443,155438,29,126901
9590,"Joliet","Illinois",41.5188,-88.1499,150221,15,104437
494,"Champaign","Illinois",40.1142,-88.2737,150179,3,155998
9590,"Champaign","Illinois",40.1142,-88.2737,150179,3,73466
9590,"Roseville","California",38.7703,-121.3196,148879,6,165250
9590,"Torrance","California",33.8346,-118.3416,145454,10,150000
9590,"Fullerton","California",33.8841,-117.9279,142280,2,139675
9590,"Olathe","Kansas",38.8833,-94.82,142114,2,152500
9590,"Kent","Washington",47.3887,-122.2128,135169,36,52645
9590,"Sterling Heights","Michigan",42.5809,-83.0305,133744,2,65250
132,"Billings","Montana",45.7891,-108.5526,131519,3,156445
494,"Santa Clara","California",37.3646,-121.968,128058,2411,200996
9590,"Santa Clara","California",37.3646,-121.968,128058,205,162400
307,"Santa Clara","California",37.3646,-121.968,128058,284,157643
227,"Santa Clara","California",37.3646,-121.968,128058,22,168922
9604,"Santa Clara","California",37.3646,-121.968,128058,63,150000
4605,"Santa Clara","California",37.3646,-121.968,128058,4,158952
191,"Santa Clara","California",37.3646,-121.968,128058,14,198940
57585,"Santa Clara","California",37.3646,-121.968,128058,3,196490
4605,"Rochester","Minnesota",44.0154,-92.478,121870,25,130206
27732,"Boulder","Colorado",40.0248,-105.2524,118090,408,142000
494,"Boulder","Colorado",40.0248,-105.2524,118090,9,185073
9590,"Boulder","Colorado",40.0248,-105.2524,118090,26,115000
4605,"Boulder","Colorado",40.0248,-105.2524,118090,6,134708
9604,"Boulder","Colorado",40.0248,-105.2524,118090,6,148850
4605,"Richardson","Texas",32.9716,-96.7093,118063,5,124134
9590,"Richmond","California",37.9477,-122.3389,115619,9,83283
4605,"Lowell","Massachusetts",42.6389,-71.3217,114737,82,160440
9590,"Murrieta","California",33.5719,-117.1909,111899,3,80300
9590,"Everett","Washington",47.9525,-122.1669,110847,35,140920
191,"Everett","Washington",47.9525,-122.1669,110847,4,191000
494,"Hillsboro","Oregon",45.5273,-122.936,106612,46,188825
9604,"Hillsboro","Oregon",45.5273,-122.936,106612,99,160000
307,"Hillsboro","Oregon",45.5273,-122.936,106612,395,127004
9590,"Hillsboro","Oregon",45.5273,-122.936,106612,9,150000
132,"Hillsboro","Oregon",45.5273,-122.936,106612,2,125424
4605,"Columbia","Maryland",39.2004,-76.859,106600,2,103880
9590,"Spokane Valley","Washington",47.6626,-117.2346,103761,2,46300
191,"Riverview","Florida",27.8227,-82.3023,102467,2,162291
9590,"Federal Way","Washington",47.3091,-122.3358,99614,7,165000
4605,"Boca Raton","Florida",26.3752,-80.108,97980,2,101777
9590,"Goodyear","Arizona",33.2614,-112.3622,97542,65,97490
9590,"Livonia","Michigan",42.3972,-83.3733,94928,3,104832
9590,"Middletown","Ohio",39.5033,-84.3659,93870,8,61100
9590,"Fall River","Massachusetts",41.7136,-71.1015,93638,6,88000
9590,"Santa Monica","California",34.0235,-118.481,92168,490,121222
9604,"Santa Monica","California",34.0235,-118.481,92168,3,160000
132,"Lawton","Oklahoma",34.6175,-98.4202,91023,5,152215
9590,"Chino","California",33.9836,-117.6654,91008,5,79789
4605,"Germantown","Maryland",39.1755,-77.2643,90210,5,150739
9590,"Waukegan","Illinois",42.3698,-87.8716,89435,5,104437
9590,"Avondale","Arizona",33.3873,-112.3235,89214,2,47923
9590,"Citrus Heights","California",38.6948,-121.288,87127,2,129000
9590,"Hawthorne","California",33.9147,-118.3476,86978,64,112100
132,"Deerfield Beach","Florida",26.305,-80.1277,86455,2,194050
9590,"Decatur","Illinois",39.8557,-88.9342,86231,9,71900
191,"Lake Forest","California",33.6605,-117.6714,85583,2,164394
9590,"Brooklyn Park","Minnesota",45.1112,-93.3505,84951,2,69992
9590,"Buena Park","California",33.8572,-118.0046,83542,2,115134
4605,"State College","Pennsylvania",40.7909,-77.8567,83170,17,150004
9590,"Silver Spring","Maryland",39.0028,-77.0207,81808,3,77189
307,"Folsom","California",38.6668,-121.1422,81077,218,133172
9590,"Terre Haute","Indiana",39.466,-87.3751,80567,2,126900
9590,"Homestead","Florida",25.4665,-80.4472,79996,2,123800
9590,"Milpitas","California",37.4336,-121.8921,79092,5,157300
191,"Milpitas","California",37.4336,-121.8921,79092,4,206000
9604,"Milpitas","California",37.4336,-121.8921,79092,2,178408
9590,"Pasco","Washington",46.2506,-119.1305,77274,5,110050
9590,"Arlington Heights","Illinois",42.0955,-87.9826,76794,3,48922
9604,"Wenatchee","Washington",47.436,-120.3295,76152,10,149835
132,"Owensboro","Kentucky",37.7575,-87.1172,75644,3,197000
9590,"Woodbury","Minnesota",44.9057,-92.923,75549,3,136300
9590,"Jackson","Tennessee",35.6538,-88.8354,72836,5,73000
9590,"Lakeville","Minnesota",44.6774,-93.252,70696,3,127000
9590,"Eastvale","California",33.9617,-117.5803,69594,18,54538
9590,"Gaithersburg","Maryland",39.1346,-77.2131,69016,2,136700
4605,"Gaithersburg","Maryland",39.1346,-77.2131,69016,4,98274
9604,"West Des Moines","Iowa",41.5521,-93.7806,68744,11,130000
9590,"Maricopa","Arizona",33.0408,-112.0011,68376,12,66800
9590,"Eagan","Minnesota",44.817,-93.1638,68262,2,114629
132,"Palo Alto","California",37.3905,-122.1468,67901,71,220000
27732,"Palo Alto","California",37.3905,-122.1468,67901,4,170000
9590,"Palo Alto","California",37.3905,-122.1468,67901,276,120578
9590,"Shawnee","Kansas",39.0158,-94.8076,67671,3,47674
9590,"San Marcos","Texas",29.8734,-97.9356,67491,4,98696
9590,"Haverhill","Massachusetts",42.7838,-71.0871,67273,2,115000
